MONTH,CUSTOMER_ID,SERVICE_ID,CONTRACTS,TOTAL_SAAS_REVENUE_USD
2023-10-01,199072,28,62,6510
2023-12-01,473284,28,9,1323
2023-11-01,180824,28,9,1323
2023-12-01,174840,28,64,9408
2023-09-01,158752,28,58,10266
2023-11-01,20800,28,25,2925
2023-12-01,160048,28,23,690
2023-11-01,158108,28,6,882
2023-07-01,145708,28,62,7440
2023-08-01,163596,28,26,1950
2023-09-01,282356,28,286,42042
2023-11-01,174296,28,10,1470
2023-09-01,193576,28,8,1176
2023-08-01,17684,28,32,2400
2023-08-01,41664,28,6,450
2023-12-01,185432,28,6,882
2023-07-01,256728,28,51,5355
2023-11-01,110980,28,6,702
2023-07-01,28932,28,23,1725
2023-09-01,118708,28,10,300
2023-12-01,150640,28,46,6762
2023-07-01,207824,28,46,5520
2023-08-01,132380,28,104,9048
2023-08-01,120184,28,449,39063
2023-09-01,112220,28,3,441
2023-10-01,15580,28,84,12348
2023-07-01,291048,28,1,147
2023-12-01,14636,28,77,6930
2023-10-01,207372,28,18,1350
2023-11-01,174516,28,18,2646
2023-07-01,21204,28,10,750
2023-11-01,145092,28,12,900
2023-08-01,148448,28,62,4650
2023-08-01,98488,28,265,19875
2023-07-01,15632,28,345,36225
2023-12-01,166980,28,7,714
2023-08-01,156796,28,47,6909
2023-11-01,243080,28,39,3393
2023-07-01,156796,28,54,7938
2023-11-01,111536,28,109,13923
2023-10-01,148540,28,120,6480
2023-08-01,166960,28,16,1680
2023-10-01,207824,28,57,6840
2023-11-01,129052,28,8,1176
2023-08-01,219504,9,1,1797
2023-07-01,19048,9,68,100765.65
2023-10-01,141284,9,2,3000
2023-10-01,153844,9,122,153186
2023-09-01,309368,9,83,130149.96
2023-11-01,17124,28,3,351
2023-12-01,14520,28,135,6741
2023-08-01,264276,9,11,19767
2023-11-01,97408,9,21,31500
2023-09-01,229668,9,1,1047
2023-11-01,19672,28,51,5967
2023-09-01,164320,34,1,150
2023-12-01,102328,9,7,10500
2023-09-01,231804,9,13,20391
2023-12-01,23480,9,33,41580
2023-12-01,26284,28,9,675
2023-10-01,125532,9,20,30444
2023-07-01,143480,9,8,14261.61
2023-10-01,18608,28,66,4950
2023-10-01,259360,28,4,0
2023-09-01,225688,28,29,2523
2023-10-01,145092,28,13,975
2023-11-01,149384,28,5,735
2023-09-01,132272,28,11,1170
2023-11-01,15928,28,966,57960
2023-08-01,177344,28,61,8967
2023-09-01,145152,28,3,0
2023-09-01,104112,28,18,2106
2023-08-01,568364,28,19,294
2023-12-01,298888,28,10,1176
2023-08-01,15076,28,24,720
2023-10-01,148776,28,42,6174
2023-09-01,209636,28,33,2871
2023-08-01,87304,28,54,6708
2023-07-01,155800,28,53,7791
2023-08-01,24312,28,218,16350
2023-07-01,15052,28,191,14469
2023-09-01,163844,28,4,588
2023-08-01,207824,28,50,6000
2023-11-01,160476,28,27,3969
2023-11-01,21808,28,4,588
2023-10-01,173712,28,23,2760
